network,registered_country_geoname_id
2.58.28.0/22,290557
2.58.32.0/24,2921044
2.58.40.0/22,298795
2.58.44.0/24,798549
2.58.48.0/22,3190538
2.58.52.0/22,2921044
2.58.57.0/24,2750405
2.58.60.0/22,2963597
2.58.64.0/22,2510769
2.58.68.0/22,2017370
2.58.72.0/23,2921044
2.58.76.0/22,798549
2.58.80.0/23,2921044
2.58.84.0/24,597427
2.58.88.0/22,660013
2.58.92.0/24,732800
2.58.93.0/24,3175395
2.58.95.0/27,732800
2.58.96.0/23,290557
2.58.100.0/22,2921044
2.58.104.0/22,798544
2.58.108.0/22,2802361
2.58.112.0/24,2921044
2.58.116.0/22,3017382
2.58.124.0/22,2017370
2.58.128.0/22,3175395
2.58.132.0/22,6254930
2.58.136.0/22,3175395
2.58.140.0/22,298795
2.58.144.0/22,2782113
2.58.148.0/22,2750405
2.58.152.0/22,2635167
2.58.156.0/22,1269750
2.58.160.0/22,2635167
2.58.164.0/29,2750405
2.58.168.0/24,719819
2.58.172.0/24,290557
2.58.176.0/22,6252001
2.58.180.0/22,2963597
2.58.184.0/22,3175395
2.58.188.0/22,2510769
2.58.192.0/22,2635167
2.58.196.0/24,2921044
2.58.204.0/24,3077311
2.58.208.0/22,3175395
2.58.212.0/22,2750405
2.58.216.0/22,798544
2.58.220.0/22,660013
2.58.224.0/22,2510769
2.58.228.0/31,1694008
2.58.232.0/24,597427
2.58.236.0/22,2750405
2.58.240.0/24,1668284
2.58.244.0/23,2921044
2.58.252.0/23,6252001
2.59.0.0/23,290557
2.59.4.0/22,3175395
2.59.8.0/23,3582678
2.59.12.0/22,798549
2.59.16.0/22,3175395
2.59.20.0/23,241170
2.59.24.0/22,2635167
2.59.28.0/22,2921044
2.59.36.0/22,2750405
2.59.40.0/22,290557
2.59.44.0/22,2921044
2.59.48.0/23,241170
2.59.51.0/24,2017370
2.59.52.0/23,248816
2.59.56.0/23,597427
2.59.64.0/22,2802361
2.59.68.0/22,3017382
2.59.76.0/22,2017370
2.59.84.0/22,2921044
2.59.88.0/22,2750405
2.59.92.0/22,2510769
2.59.96.0/24,953987
2.59.100.0/22,1819730
2.59.104.0/22,2963597
2.59.108.0/22,2510769
2.59.116.0/24,2782113
2.59.117.0/24,298795
2.59.118.0/24,3190538
2.59.119.0/24,298795
2.59.120.0/22,2658434
2.59.124.0/22,2510769
2.59.128.0/22,798544
2.59.132.0/22,2921044
2.59.136.0/22,2750405
2.59.140.0/22,3175395
2.59.144.0/22,3017382
2.59.148.0/23,2921044
2.59.151.0/24,1880251
2.59.152.0/24,1819730
